Metric,Actual,Unit,Source,Notes
Revenue,178650,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 consolidated IFRS revenue.
Revenue Growth,0.096,percentage,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 reported INR revenue growth.
Operating Profit,36254,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 reported IFRS operating profit.
Operating Margin,0.203,percentage,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 reported IFRS operating margin.
Adjusted Operating Profit,37543,INR crore,https://www.infosys.com/investors/reports-filings/quarterly-results/2025-2026/q4/documents/ifrs-inr-press-release.pdf,Excludes Labour Codes provision of INR 1289 crore.
Adjusted Operating Margin,0.210,percentage,https://www.infosys.com/investors/reports-filings/quarterly-results/2025-2026/q4/documents/ifrs-inr-press-release.pdf,Adjusted non-IFRS operating margin.
Net Profit,29474,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,Net profit before non-controlling interests.
CFO,33986,INR crore,https://www.infosys.com/investors/reports-filings/quarterly-results/2025-2026/q4/documents/consolidated/consol-fy26-annual-finstatement.pdf,Net cash generated by operating activities.
Company FCF,33097,INR crore,https://www.infosys.com/investors/reports-filings/quarterly-results/2025-2026/q4/documents/ifrs-inr-press-release.pdf,Company-reported free cash flow.
D&A,4902,INR crore,https://www.infosys.com/investors/reports-filings/quarterly-results/2025-2026/q4/documents/consolidated/consol-fy26-annual-finstatement.pdf,Depreciation and amortization.
Capex,2727,INR crore,https://www.infosys.com/investors/reports-filings/quarterly-results/2025-2026/q4/documents/consolidated/consol-fy26-annual-finstatement.pdf,Expenditure on PPE and intangibles net of sale proceeds.
Cash and Equivalents,22201,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 cash and cash equivalents.
Current Investments,12950,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 current investments.
Total Assets,155967,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 total assets.
Total Equity,93297,INR crore,https://www.infosys.com/investors/reports-filings/financials/data-sheet.html,FY2026 total equity.
